collection_id,url,defunct,misc
8c e2 cc fd 69 b3 c2 aa,https://www.youtube.com/watch?v=2SDBxH6mCtI,no,Published 2018-05-01
89 6b a2 68 bb 2d ae af,https://www.youtube.com/watch?v=Qm2PDlIqceU,,Published 2018-09-28?
